Active component type,Active component type formation energy,Active component type density,Active component content (wt percent),Promoter type,Promoter type formation energy,Promoter type density,Promoter content (wt percent),Support a type,Support a type formation energy,Support a type density,Support a content (wt percent),Support b type,Support b type formation energy,Support b type density,Preparation method,Preparation Scalability,Preparation cost,Calcination Temperature (C),Calcination time (h),Reduction Temperature (C),Reduction Pressure (bar),Reduction time (h),Reduced hydrogen content (vol percent),Temperature (C),Pressure (bar),Weight hourly space velocity [mgcat/(min·ml)],Content of inert components in raw materials (vol percent),h2/co2 ratio (mol/mol),co2 conversion ratio (percent),ch4 selectivity (percent),ch4 yield (percent),Reference
Ni,0.046,9.22,30,None,0,0,0,Al2O3,-3.352,3.87,70,None,0,0,WI,5,1,600,4,600,1,1,50,500,1,5.26,21,4,62.461,77.021,48.108,[13]
Ni,0.046,9.22,30,None,0,0,0,Al2O3,-3.352,3.87,70,None,0,0,WI,5,1,600,4,600,1,1,50,600,1,5.26,21,4,62.776,34.271,21.514,[13]
Ni,0.046,9.22,32.5,None,0,0,0,Al2O3,-3.352,3.87,67.5,None,0,0,WI,5,1,600,4,600,1,1,50,250,1,5.26,21,4,4.127,44.003,1.816,[13]
Ni,0.046,9.22,32.5,None,0,0,0,Al2O3,-3.352,3.87,67.5,None,0,0,WI,5,1,600,4,600,1,1,50,300,1,5.26,21,4,22.222,58.523,13.005,[13]
Ni,0.046,9.22,32.5,None,0,0,0,Al2O3,-3.352,3.87,67.5,None,0,0,WI,5,1,600,4,600,1,1,50,350,1,5.26,21,4,49.206,89.595,44.086,[13]
Ni,0.046,9.22,32.5,None,0,0,0,Al2O3,-3.352,3.87,67.5,None,0,0,WI,5,1,600,4,600,1,1,50,400,1,5.26,21,4,60.635,93.299,56.572,[13]
Ni,0.046,9.22,32.5,None,0,0,0,Al2O3,-3.352,3.87,67.5,None,0,0,WI,5,1,600,4,600,1,1,50,450,1,5.26,21,4,61.587,89.663,55.221,[13]
Ni,0.046,9.22,32.5,None,0,0,0,Al2O3,-3.352,3.87,67.5,None,0,0,WI,5,1,600,4,600,1,1,50,500,1,5.26,21,4,61.587,76.586,47.167,[13]
Ni,0.046,9.22,32.5,None,0,0,0,Al2O3,-3.352,3.87,67.5,None,0,0,WI,5,1,600,4,600,1,1,50,600,1,5.26,21,4,61.905,34.105,21.113,[13]
Ni,0.046,9.22,35,None,0,0,0,Al2O3,-3.352,3.87,65,None,0,0,WI,5,1,600,4,600,1,1,50,250,1,5.26,21,4,3.785,42.853,1.622,[13]
Ni,0.046,9.22,35,None,0,0,0,Al2O3,-3.352,3.87,65,None,0,0,WI,5,1,600,4,600,1,1,50,300,1,5.26,21,4,25.237,56.116,14.162,[13]
Ni,0.046,9.22,35,None,0,0,0,Al2O3,-3.352,3.87,65,None,0,0,WI,5,1,600,4,600,1,1,50,350,1,5.26,21,4,50.473,90.175,45.514,[13]
Ni,0.046,9.22,35,None,0,0,0,Al2O3,-3.352,3.87,65,None,0,0,WI,5,1,600,4,600,1,1,50,400,1,5.26,21,4,60.883,94.287,57.405,[13]
Ni,0.046,9.22,35,None,0,0,0,Al2O3,-3.352,3.87,65,None,0,0,WI,5,1,600,4,600,1,1,50,450,1,5.26,21,4,60.883,92.512,56.324,[13]
Ni,0.046,9.22,35,None,0,0,0,Al2O3,-3.352,3.87,65,None,0,0,WI,5,1,600,4,600,1,1,50,500,1,5.26,21,4,60.883,78.662,47.892,[13]
Ni,0.046,9.22,35,None,0,0,0,Al2O3,-3.352,3.87,65,None,0,0,WI,5,1,600,4,600,1,1,50,600,1,5.26,21,4,59.621,31.37,18.703,[13]
Ni,0.046,9.22,37.5,None,0,0,0,Al2O3,-3.352,3.87,62.5,None,0,0,WI,5,1,600,4,600,1,1,50,250,1,5.26,21,4,4.416,26.925,1.189,[13]
Ni,0.046,9.22,37.5,None,0,0,0,Al2O3,-3.352,3.87,62.5,None,0,0,WI,5,1,600,4,600,1,1,50,300,1,5.26,21,4,23.975,59.971,14.378,[13]
Ni,0.046,9.22,37.5,None,0,0,0,Al2O3,-3.352,3.87,62.5,None,0,0,WI,5,1,600,4,600,1,1,50,350,1,5.26,21,4,48.58,95.467,46.378,[13]
Ni,0.046,9.22,37.5,None,0,0,0,Al2O3,-3.352,3.87,62.5,None,0,0,WI,5,1,600,4,600,1,1,50,400,1,5.26,21,4,62.776,92.822,58.27,[13]
Ni,0.046,9.22,37.5,None,0,0,0,Al2O3,-3.352,3.87,62.5,None,0,0,WI,5,1,600,4,600,1,1,50,450,1,5.26,21,4,62.461,91.56,57.189,[13]
Ni,0.046,9.22,37.5,None,0,0,0,Al2O3,-3.352,3.87,62.5,None,0,0,WI,5,1,600,4,600,1,1,50,500,1,5.26,21,4,61.199,78.962,48.324,[13]
Ni,0.046,9.22,37.5,None,0,0,0,Al2O3,-3.352,3.87,62.5,None,0,0,WI,5,1,600,4,600,1,1,50,600,1,5.26,21,4,59.306,28.984,17.189,[13]
Ni,0.046,9.22,40,None,0,0,0,Al2O3,-3.352,3.87,60,None,0,0,WI,5,1,600,4,600,1,1,50,250,1,5.26,21,4,7.571,29.983,2.27,[13]
Ni,0.046,9.22,40,None,0,0,0,Al2O3,-3.352,3.87,60,None,0,0,WI,5,1,600,4,600,1,1,50,300,1,5.26,21,4,28.076,60.454,16.973,[13]
Ni,0.046,9.22,40,None,0,0,0,Al2O3,-3.352,3.87,60,None,0,0,WI,5,1,600,4,600,1,1,50,350,1,5.26,21,4,58.675,92.677,54.378,[13]
Ni,0.046,9.22,40,None,0,0,0,Al2O3,-3.352,3.87,60,None,0,0,WI,5,1,600,4,600,1,1,50,400,1,5.26,21,4,66.246,96.447,63.892,[13]
Ni,0.046,9.22,40,None,0,0,0,Al2O3,-3.352,3.87,60,None,0,0,WI,5,1,600,4,600,1,1,50,450,1,5.26,21,4,65.615,91.772,60.216,[13]
Ni,0.046,9.22,40,None,0,0,0,Al2O3,-3.352,3.87,60,None,0,0,WI,5,1,600,4,600,1,1,50,500,1,5.26,21,4,63.407,78.6,49.838,[13]
Ni,0.046,9.22,40,None,0,0,0,Al2O3,-3.352,3.87,60,None,0,0,WI,5,1,600,4,600,1,1,50,600,1,5.26,21,4,63.091,35.127,22.162,[13]
Ni,0.046,9.22,50,None,0,0,0,Al2O3,-3.352,3.87,50,None,0,0,WI,5,1,600,4,600,1,1,50,250,1,5.26,21,4,3.165,21.295,0.674,[13]
Ni,0.046,9.22,50,None,0,0,0,Al2O3,-3.352,3.87,50,None,0,0,WI,5,1,600,4,600,1,1,50,300,1,5.26,21,4,27.532,61.863,17.032,[13]
Ni,0.046,9.22,50,None,0,0,0,Al2O3,-3.352,3.87,50,None,0,0,WI,5,1,600,4,600,1,1,50,350,1,5.26,21,4,58.861,93.661,55.13,[13]
Ni,0.046,9.22,50,None,0,0,0,Al2O3,-3.352,3.87,50,None,0,0,WI,5,1,600,4,600,1,1,50,400,1,5.26,21,4,66.456,97.105,64.532,[13]
Ni,0.046,9.22,50,None,0,0,0,Al2O3,-3.352,3.87,50,None,0,0,WI,5,1,600,4,600,1,1,50,450,1,5.26,21,4,65.19,92.405,60.239,[13]
Ni,0.046,9.22,50,None,0,0,0,Al2O3,-3.352,3.87,50,None,0,0,WI,5,1,600,4,600,1,1,50,500,1,5.26,21,4,63.291,78.776,49.858,[13]
Ni,0.046,9.22,50,None,0,0,0,Al2O3,-3.352,3.87,50,None,0,0,WI,5,1,600,4,600,1,1,50,600,1,5.26,21,4,63.608,34.125,21.706,[13]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,SGP,4,3,550,6,500,1,10,100,160,1,10,0,4,1.852,100,1.852,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,SGP,4,3,550,6,500,1,10,100,180,1,10,0,4,1.496,100,1.496,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,SGP,4,3,550,6,500,1,10,100,200,1,10,0,4,1.14,100,1.14,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,SGP,4,3,550,6,500,1,10,100,220,1,10,0,4,4.345,100,4.345,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,SGP,4,3,550,6,500,1,10,100,240,1,10,0,4,7.55,99.976,7.548,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,SGP,4,3,550,6,500,1,10,100,260,1,10,0,4,13.248,99.308,13.156,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,SGP,4,3,550,6,500,1,10,100,280,1,10,0,4,23.932,99.141,23.726,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,SGP,4,3,550,6,500,1,10,100,300,1,10,0,4,35.684,98.998,35.326,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,SGP,4,3,550,6,500,1,10,100,320,1,10,0,4,50.285,98.807,49.685,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,SGP,4,3,550,6,500,1,10,100,340,1,10,0,4,59.188,98.711,58.425,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,SGP,4,3,550,6,500,1,10,100,360,1,10,0,4,65.242,98.735,64.417,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,SGP,4,3,550,6,500,1,10,100,380,1,10,0,4,68.803,98.759,67.949,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,SGP,4,3,550,6,500,1,10,100,400,1,10,0,4,70.228,98.687,69.306,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,SGP,4,3,550,6,500,1,10,100,420,1,10,0,4,70.584,98.425,69.472,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,SGP,4,3,550,6,500,1,10,100,440,1,10,0,4,70.228,97.876,68.736,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,90,None,0,0,SGP,4,3,550,6,500,1,10,100,460,1,10,0,4,68.803,96.993,66.734,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,72.5,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,160,1,10,0,4,1.852,100,1.852,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,72.5,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,180,1,10,0,4,3.632,100,3.632,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,72.5,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,200,1,10,0,4,4.345,100,4.345,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,72.5,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,220,1,10,0,4,8.262,100,8.262,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,72.5,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,240,1,10,0,4,12.892,99.976,12.889,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,72.5,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,260,1,10,0,4,26.068,99.547,25.95,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,72.5,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,280,1,10,0,4,44.231,99.379,43.956,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,72.5,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,300,1,10,0,4,56.695,99.284,56.289,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,72.5,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,320,1,10,0,4,65.242,99.284,64.775,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,72.5,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,340,1,10,0,4,69.872,99.356,69.422,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,72.5,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,360,1,10,0,4,71.652,99.308,71.156,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,72.5,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,380,1,10,0,4,72.365,99.165,71.761,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,72.5,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,400,1,10,0,4,72.009,98.854,71.184,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,72.5,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,420,1,10,0,4,70.94,98.305,69.738,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,72.5,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,440,1,10,0,4,69.872,97.494,68.121,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,72.5,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,460,1,10,0,4,67.379,96.181,64.806,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,60.7,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,160,1,10,0,4,0.427,100,0.427,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,60.7,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,180,1,10,0,4,2.564,100,2.564,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,60.7,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,200,1,10,0,4,5.413,100,5.413,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,60.7,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,220,1,10,0,4,11.111,100,11.111,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,60.7,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,240,1,10,0,4,21.083,100,21.083,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,60.7,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,260,1,10,0,4,36.396,99.714,36.292,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,60.7,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,280,1,10,0,4,56.339,99.594,56.11,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,60.7,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,300,1,10,0,4,64.53,99.547,64.238,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,60.7,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,320,1,10,0,4,70.228,99.57,69.926,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,60.7,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,340,1,10,0,4,72.721,99.57,72.408,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,60.7,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,360,1,10,0,4,73.789,99.523,73.437,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,60.7,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,380,1,10,0,4,73.433,99.356,72.96,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,60.7,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,400,1,10,0,4,71.652,98.974,70.917,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,60.7,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,420,1,10,0,4,70.94,98.449,69.84,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,60.7,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,440,1,10,0,4,68.803,97.613,67.161,[14]
Ni,0.046,9.22,10,None,0,0,0,Al2O3,-3.352,3.87,60.7,ZrO2,-3.755,6.04,SGP,4,3,550,6,500,1,10,100,460,1,10,0,4,66.311,95.656,63.43,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,67.6,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,160,1,10,0,4,5.413,100,5.413,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,67.6,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,180,1,10,0,4,5.413,100,5.413,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,67.6,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,200,1,10,0,4,6.125,100,6.125,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,67.6,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,220,1,10,0,4,6.838,100,6.838,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,67.6,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,240,1,10,0,4,9.33,100,9.33,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,67.6,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,260,1,10,0,4,12.179,99.976,12.176,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,67.6,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,280,1,10,0,4,20.37,99.332,20.234,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,67.6,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,300,1,10,0,4,27.493,99.069,27.237,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,67.6,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,320,1,10,0,4,39.957,98.783,39.471,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,67.6,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,340,1,10,0,4,50.641,98.473,49.868,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,67.6,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,360,1,10,0,4,58.12,98.162,57.052,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,67.6,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,380,1,10,0,4,62.393,97.852,61.053,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,67.6,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,400,1,10,0,4,64.886,97.446,63.229,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,67.6,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,420,1,10,0,4,65.954,96.969,63.955,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,67.6,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,440,1,10,0,4,66.311,96.348,63.889,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,67.6,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,460,1,10,0,4,66.667,95.322,63.548,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,90,None,0,0,SGP,4,3,550,6,500,1,10,100,160,1,10,0,4,1.14,100,1.14,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,90,None,0,0,SGP,4,3,550,6,500,1,10,100,180,1,10,0,4,1.496,100,1.496,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,90,None,0,0,SGP,4,3,550,6,500,1,10,100,200,1,10,0,4,1.852,100,1.852,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,90,None,0,0,SGP,4,3,550,6,500,1,10,100,220,1,10,0,4,2.208,100,2.208,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,90,None,0,0,SGP,4,3,550,6,500,1,10,100,240,1,10,0,4,2.564,100,2.564,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,90,None,0,0,SGP,4,3,550,6,500,1,10,100,260,1,10,0,4,3.632,99.928,3.629,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,90,None,0,0,SGP,4,3,550,6,500,1,10,100,280,1,10,0,4,5.057,97.208,4.916,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,90,None,0,0,SGP,4,3,550,6,500,1,10,100,300,1,10,0,4,6.838,95.871,6.556,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,90,None,0,0,SGP,4,3,550,6,500,1,10,100,320,1,10,0,4,9.33,95.776,8.936,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,90,None,0,0,SGP,4,3,550,6,500,1,10,100,340,1,10,0,4,12.536,95.752,12.003,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,90,None,0,0,SGP,4,3,550,6,500,1,10,100,360,1,10,0,4,17.521,95.489,16.731,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,90,None,0,0,SGP,4,3,550,6,500,1,10,100,380,1,10,0,4,25.356,95.036,24.097,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,90,None,0,0,SGP,4,3,550,6,500,1,10,100,400,1,10,0,4,37.821,94.893,35.889,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,90,None,0,0,SGP,4,3,550,6,500,1,10,100,420,1,10,0,4,53.49,94.964,50.796,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,90,None,0,0,SGP,4,3,550,6,500,1,10,100,440,1,10,0,4,60.969,95.251,58.074,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,90,None,0,0,SGP,4,3,550,6,500,1,10,100,460,1,10,0,4,65.242,95.585,62.362,[14]
Ni,0.046,9.22,1,None,0,0,0,ZrO2,-3.755,6.04,54.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,260,1,10,0,4,1.548,89.292,1.382,[14]
Ni,0.046,9.22,1,None,0,0,0,ZrO2,-3.755,6.04,54.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,280,1,10,0,4,3.355,91.015,3.054,[14]
Ni,0.046,9.22,1,None,0,0,0,ZrO2,-3.755,6.04,54.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,300,1,10,0,4,6.71,92.091,6.179,[14]
Ni,0.046,9.22,1,None,0,0,0,ZrO2,-3.755,6.04,54.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,320,1,10,0,4,10.065,92.483,9.308,[14]
Ni,0.046,9.22,1,None,0,0,0,ZrO2,-3.755,6.04,54.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,340,1,10,0,4,13.419,92.3,12.386,[14]
Ni,0.046,9.22,1,None,0,0,0,ZrO2,-3.755,6.04,54.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,360,1,10,0,4,17.806,91.756,16.338,[14]
Ni,0.046,9.22,1,None,0,0,0,ZrO2,-3.755,6.04,54.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,380,1,10,0,4,24.516,91.141,22.344,[14]
Ni,0.046,9.22,1,None,0,0,0,ZrO2,-3.755,6.04,54.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,400,1,10,0,4,31.484,90.202,28.399,[14]
Ni,0.046,9.22,1,None,0,0,0,ZrO2,-3.755,6.04,54.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,420,1,10,0,4,37.935,88.832,33.698,[14]
Ni,0.046,9.22,1,None,0,0,0,ZrO2,-3.755,6.04,54.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,440,1,10,0,4,42.581,87.066,37.074,[14]
Ni,0.046,9.22,1,None,0,0,0,ZrO2,-3.755,6.04,54.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,460,1,10,0,4,45.161,85.623,38.668,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,49.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,160,1,10,0,4,0.516,99.994,0.516,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,49.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,180,1,10,0,4,4.129,99.99,4.129,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,49.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,200,1,10,0,4,7.742,99.986,7.741,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,49.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,220,1,10,0,4,14.452,99.983,14.45,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,49.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,240,1,10,0,4,27.871,99.979,27.865,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,49.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,260,1,10,0,4,46.452,99.868,46.391,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,49.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,280,1,10,0,4,66.065,99.753,65.902,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,49.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,300,1,10,0,4,71.742,99.753,71.565,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,49.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,320,1,10,0,4,75.871,99.713,75.653,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,49.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,340,1,10,0,4,76.129,99.602,75.826,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,49.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,360,1,10,0,4,76.387,99.49,75.997,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,49.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,380,1,10,0,4,75.613,99.343,75.116,[14]
Ni,0.046,9.22,10,None,0,0,0,ZrO2,-3.755,6.04,49.2,Al2O3,-3.352,3.87,SGP,4,3,550,6,500,1,10,100,400,1,10,0,4,74.839,99.123,74.183,[14]
